movie_id,title,actor_name,character,cast_order,gender
19995,Avatar,Sam Worthington,Jake Sully,0,2
19995,Avatar,Zoe Saldana,Neytiri,1,1
19995,Avatar,Sigourney Weaver,Dr. Grace Augustine,2,1
19995,Avatar,Stephen Lang,Col. Quaritch,3,2
19995,Avatar,Michelle Rodriguez,Trudy Chacon,4,1
19995,Avatar,Giovanni Ribisi,Selfridge,5,2
19995,Avatar,Joel David Moore,Norm Spellman,6,2
19995,Avatar,CCH Pounder,Moat,7,1
19995,Avatar,Wes Studi,Eytukan,8,2
19995,Avatar,Laz Alonso,Tsu'Tey,9,2
285,Pirates of the Caribbean: At World's End,Johnny Depp,Captain Jack Sparrow,0,2
285,Pirates of the Caribbean: At World's End,Orlando Bloom,Will Turner,1,2
285,Pirates of the Caribbean: At World's End,Keira Knightley,Elizabeth Swann,2,1
285,Pirates of the Caribbean: At World's End,Stellan Skarsgård,"William ""Bootstrap Bill"" Turner",3,2
285,Pirates of the Caribbean: At World's End,Chow Yun-fat,Captain Sao Feng,4,2
285,Pirates of the Caribbean: At World's End,Bill Nighy,Captain Davy Jones,5,2
285,Pirates of the Caribbean: At World's End,Geoffrey Rush,Captain Hector Barbossa,6,2
285,Pirates of the Caribbean: At World's End,Jack Davenport,Admiral James Norrington,7,2
285,Pirates of the Caribbean: At World's End,Kevin McNally,Joshamee Gibbs,8,2
285,Pirates of the Caribbean: At World's End,Tom Hollander,Lord Cutler Beckett,9,2
206647,Spectre,Daniel Craig,James Bond,0,2
206647,Spectre,Christoph Waltz,Blofeld,1,2
206647,Spectre,Léa Seydoux,Madeleine,2,1
206647,Spectre,Ralph Fiennes,M,3,2
206647,Spectre,Monica Bellucci,Lucia,4,1
206647,Spectre,Ben Whishaw,Q,5,2
206647,Spectre,Naomie Harris,Moneypenny,6,1
206647,Spectre,Dave Bautista,Hinx,7,2
206647,Spectre,Andrew Scott,C,8,2
206647,Spectre,Rory Kinnear,Tanner,9,2
49026,The Dark Knight Rises,Christian Bale,Bruce Wayne / Batman,0,2
49026,The Dark Knight Rises,Michael Caine,Alfred Pennyworth,1,2
49026,The Dark Knight Rises,Gary Oldman,James Gordon,2,2
49026,The Dark Knight Rises,Anne Hathaway,Selina Kyle / Catwoman,3,1
49026,The Dark Knight Rises,Tom Hardy,Bane,4,2
49026,The Dark Knight Rises,Marion Cotillard,Miranda Tate,5,1
49026,The Dark Knight Rises,Joseph Gordon-Levitt,Blake,6,2
49026,The Dark Knight Rises,Morgan Freeman,Lucius Fox,7,2
49026,The Dark Knight Rises,Cillian Murphy,Dr. Jonathan Crane / Scarecrow,8,2
49026,The Dark Knight Rises,Juno Temple,Jen,9,1
49529,John Carter,Taylor Kitsch,John Carter,0,2
49529,John Carter,Lynn Collins,Dejah Thoris,1,1
49529,John Carter,Samantha Morton,Sola,2,1
49529,John Carter,Willem Dafoe,Tars Tarkas,3,2
49529,John Carter,Thomas Haden Church,Tal Hajus,4,2
49529,John Carter,Mark Strong,Matai Shang,5,2
49529,John Carter,Ciarán Hinds,Tardos Mors,6,2
49529,John Carter,Dominic West,Sab Than,7,2
49529,John Carter,James Purefoy,Kantos Kan,8,2
49529,John Carter,Bryan Cranston,Powell,9,2
559,Spider-Man 3,Tobey Maguire,Peter Parker / Spider-Man,0,2
559,Spider-Man 3,Kirsten Dunst,Mary Jane Watson,1,1
559,Spider-Man 3,James Franco,Harry Osborn / New Goblin,2,2
559,Spider-Man 3,Thomas Haden Church,Flint Marko / Sandman,3,2
559,Spider-Man 3,Topher Grace,Eddie Brock / Venom,4,2
559,Spider-Man 3,Bryce Dallas Howard,Gwen Stacey,5,1
559,Spider-Man 3,Rosemary Harris,May Parker,6,1
559,Spider-Man 3,James Cromwell,Captain Stacey,7,2
559,Spider-Man 3,J.K. Simmons,J. Jonah Jameson,8,2
559,Spider-Man 3,Theresa Russell,Mrs. Marko,9,1
38757,Tangled,Zachary Levi,Flynn Rider (voice),0,2
38757,Tangled,Mandy Moore,Rapunzel (voice),1,1
38757,Tangled,Donna Murphy,Mother Gothel (voice),2,1
38757,Tangled,Ron Perlman,Stabbington Brother (voice),3,2
38757,Tangled,M.C. Gainey,Captain of the Guard (voice),4,2
38757,Tangled,Jeffrey Tambor,Big Nose Thug (voice),5,2
38757,Tangled,Brad Garrett,Hook Hand Thug (voice),6,2
38757,Tangled,Paul F. Tompkins,Short Thug (voice),7,0
