weight,source,target
1,Bruce Willis,Gary Oldman
1,Gene Hackman,Morgan Freeman
1,Jim Carrey,Kate Winslet
1,Jim Carrey,Kirsten Dunst
1,Kate Winslet,Kirsten Dunst
1,Ed Harris,Gene Hackman
1,Harrison Ford,Sean Connery
1,Ben Affleck,Bruce Willis
1,Brad Pitt,Jason Statham
2,Julia Roberts,Richard Gere
1,Jeff Bridges,John Goodman
2,Jeff Bridges,Julianne Moore
1,John Goodman,Julianne Moore
1,Kevin Costner,Sean Connery
1,Aaron Eckhart,Christian Bale
4,Brad Pitt,George Clooney
2,Brad Pitt,Matt Damon
4,George Clooney,Matt Damon
1,Jeff Bridges,Robin Williams
1,Catherine Keener,Nicole Kidman
1,Catherine Keener,Sean Penn
1,Nicole Kidman,Sean Penn
1,Colin Farrell,Tom Cruise
2,Cate Blanchett,George Clooney
1,Ethan Hawke,Robin Williams
1,Cate Blanchett,Harrison Ford
1,Al Pacino,Robert Duvall
1,Christian Bale,Liam Neeson
2,Anthony Hopkins,Brad Pitt
1,Jennifer Aniston,Jim Carrey
1,Al Pacino,Robin Williams
2,Nicole Kidman,Tom Cruise
1,Anne Hathaway,Meryl Streep
1,Dustin Hoffman,Tom Cruise
1,Jim Carrey,Tommy Lee Jones
1,Jim Carrey,Val Kilmer
1,Tommy Lee Jones,Val Kilmer
1,Arnold Schwarzenegger,George Clooney
1,Ben Kingsley,Liam Neeson
1,Ben Kingsley,Ralph Fiennes
3,Liam Neeson,Ralph Fiennes
1,Dennis Quaid,Jake Gyllenhaal
1,Ed Harris,Russell Crowe
1,Aaron Eckhart,Julia Roberts
1,Christian Bale,Samuel L. Jackson
2,Ben Affleck,Matt Damon
1,Ben Affleck,Robin Williams
1,Matt Damon,Robin Williams
1,Cameron Diaz,Catherine Keener
1,Cameron Diaz,John Cusack
1,Catherine Keener,John Cusack
1,Hugh Jackman,Scarlett Johansson
1,Ben Stiller,Cameron Diaz
1,Dustin Hoffman,Robert De Niro
1,Julianne Moore,Meryl Streep
1,Julianne Moore,Nicole Kidman
1,Meryl Streep,Nicole Kidman
2,Kate Winslet,Leonardo DiCaprio
3,Tommy Lee Jones,Will Smith
1,Brad Pitt,Kirsten Dunst
1,Brad Pitt,Tom Cruise
1,Kirsten Dunst,Tom Cruise
1,Leonardo DiCaprio,Tom Hanks
2,John Travolta,Samuel L. Jackson
1,Sean Penn,Susan Sarandon
3,Ben Stiller,Robert De Niro
1,Tom Cruise,Val Kilmer
1,John Travolta,Nicolas Cage
1,Ethan Hawke,Jude Law
2,Angelina Jolie,Brad Pitt
1,Angelina Jolie,Vince Vaughn
1,Brad Pitt,Vince Vaughn
1,Pierce Brosnan,Robin Williams
1,Forest Whitaker,Robin Williams
1,Brad Pitt,Gwyneth Paltrow
1,Brad Pitt,Morgan Freeman
1,Gwyneth Paltrow,Morgan Freeman
4,Cameron Diaz,Eddie Murphy
1,Brad Pitt,Robert De Niro
2,Gary Oldman,Kevin Costner
2,Gary Oldman,Tommy Lee Jones
2,Kevin Costner,Tommy Lee Jones
1,Ewan McGregor,Nicole Kidman
1,Ed Harris,Jude Law
1,Cameron Diaz,Jim Carrey
1,Matt Damon,Tom Hanks
1,Johnny Depp,Kate Winslet
1,Dustin Hoffman,Julia Roberts
1,Dustin Hoffman,Robin Williams
1,Julia Roberts,Robin Williams
1,Philip Seymour Hoffman,Tom Cruise
1,Christian Bale,Hugh Jackman
2,Brad Pitt,Cate Blanchett
2,Gwyneth Paltrow,Jude Law
2,Gwyneth Paltrow,Matt Damon
1,Jude Law,Matt Damon
1,Dustin Hoffman,Will Ferrell
1,Forest Whitaker,Keanu Reeves
1,George Clooney,Jennifer Lopez
1,Leonardo DiCaprio,Matt Damon
1,Antonio Banderas,Johnny Depp
1,Ben Affleck,Samuel L. Jackson
2,Bruce Willis,Samuel L. Jackson
1,Cameron Diaz,Jude Law
1,Cameron Diaz,Kate Winslet
2,Jude Law,Kate Winslet
1,Johnny Depp,Leonardo DiCaprio
1,Ewan McGregor,Scarlett Johansson
2,Keanu Reeves,Sandra Bullock
1,Matthew McConaughey,Samuel L. Jackson
1,Matthew McConaughey,Sandra Bullock
1,Samuel L. Jackson,Sandra Bullock
1,Alec Baldwin,Sean Connery
2,John Cusack,Nicolas Cage
1,Jude Law,Sean Penn
1,Kate Winslet,Sean Penn
1,Jeff Bridges,Robert Downey Jr.
1,Christian Bale,Ewan McGregor
1,Al Pacino,Charlize Theron
1,Al Pacino,Keanu Reeves
2,Charlize Theron,Keanu Reeves
1,Colin Farrell,Forest Whitaker
2,Adam Sandler,Drew Barrymore
1,Ewan McGregor,Liam Neeson
4,Ewan McGregor,Natalie Portman
1,Liam Neeson,Natalie Portman
1,Dennis Quaid,Scarlett Johansson
2,Cameron Diaz,Tom Cruise
1,Jennifer Lopez,Morgan Freeman
1,Jake Gyllenhaal,Mark Ruffalo
1,Jake Gyllenhaal,Robert Downey Jr.
3,Mark Ruffalo,Robert Downey Jr.
1,Drew Barrymore,Robert Duvall
1,Angelina Jolie,Colin Farrell
1,Angelina Jolie,Val Kilmer
1,Colin Farrell,Val Kilmer
2,Jude Law,Natalie Portman
1,Angelina Jolie,Gerard Butler
1,Jennifer Lopez,Matthew McConaughey
1,Denzel Washington,Ethan Hawke
1,Kevin Costner,Robert Duvall
1,Angelina Jolie,Antonio Banderas
1,Nicole Kidman,Robert Duvall
1,Robert Duvall,Tom Cruise
2,George Clooney,Mark Wahlberg
1,Ben Affleck,Charlize Theron
1,Jude Law,Julia Roberts
1,Julia Roberts,Natalie Portman
