movie_id,actor
19995,Sam Worthington
19995,Zoe Saldana
19995,Sigourney Weaver
285,Johnny Depp
285,Orlando Bloom
285,Keira Knightley
206647,Daniel Craig
206647,Christoph Waltz
206647,Léa Seydoux
49026,Christian Bale
49026,Michael Caine
49026,Gary Oldman
49529,Taylor Kitsch
49529,Lynn Collins
49529,Samantha Morton
559,Tobey Maguire
559,Kirsten Dunst
559,James Franco
38757,Zachary Levi
38757,Mandy Moore
38757,Donna Murphy
99861,Robert Downey Jr.
99861,Chris Hemsworth
99861,Mark Ruffalo
767,Daniel Radcliffe
767,Rupert Grint
767,Emma Watson
209112,Ben Affleck
209112,Henry Cavill
209112,Gal Gadot
1452,Brandon Routh
1452,Kevin Spacey
1452,Kate Bosworth
10764,Daniel Craig
10764,Olga Kurylenko
10764,Mathieu Amalric
58,Johnny Depp
58,Orlando Bloom
58,Keira Knightley
57201,Johnny Depp
57201,Armie Hammer
57201,William Fichtner
49521,Henry Cavill
49521,Amy Adams
49521,Michael Shannon
2454,Ben Barnes
2454,William Moseley
2454,Anna Popplewell
24428,Robert Downey Jr.
24428,Chris Evans
24428,Mark Ruffalo
1865,Johnny Depp
1865,Penélope Cruz
1865,Ian McShane
41154,Will Smith
41154,Tommy Lee Jones
41154,Josh Brolin
122917,Martin Freeman
122917,Ian McKellen
122917,Richard Armitage
1930,Andrew Garfield
1930,Emma Stone
1930,Rhys Ifans
20662,Russell Crowe
20662,Cate Blanchett
20662,Max von Sydow
57158,Martin Freeman
57158,Ian McKellen
57158,Richard Armitage
2268,Dakota Blue Richards
2268,Nicole Kidman
2268,Daniel Craig
254,Naomi Watts
254,Jack Black
254,Adrien Brody
597,Kate Winslet
597,Leonardo DiCaprio
597,Frances Fisher
271110,Chris Evans
271110,Robert Downey Jr.
271110,Scarlett Johansson
44833,Taylor Kitsch
44833,Alexander Skarsgård
44833,Rihanna
135397,Chris Pratt
135397,Bryce Dallas Howard
135397,Irrfan Khan
37724,Daniel Craig
37724,Judi Dench
37724,Javier Bardem
558,Tobey Maguire
558,Kirsten Dunst
558,James Franco
68721,Robert Downey Jr.
68721,Gwyneth Paltrow
68721,Don Cheadle
12155,Mia Wasikowska
12155,Johnny Depp
12155,Anne Hathaway
36668,Hugh Jackman
36668,Halle Berry
36668,Ian McKellen
62211,Billy Crystal
62211,John Goodman
62211,Steve Buscemi
8373,Shia LaBeouf
8373,Megan Fox
8373,Josh Duhamel
91314,Mark Wahlberg
91314,Stanley Tucci
91314,Kelsey Grammer
68728,James Franco
68728,Mila Kunis
68728,Rachel Weisz
102382,Andrew Garfield
102382,Emma Stone
102382,Jamie Foxx
20526,Garrett Hedlund
20526,Jeff Bridges
20526,Olivia Wilde
49013,Owen Wilson
49013,Larry the Cable Guy
49013,Michael Caine
44912,Ryan Reynolds
44912,Blake Lively
44912,Peter Sarsgaard
10193,Tom Hanks
10193,Tim Allen
10193,Ned Beatty
534,Christian Bale
534,Sam Worthington
534,Anton Yelchin
168259,Vin Diesel
168259,Paul Walker
168259,Dwayne Johnson
72190,Brad Pitt
72190,Mireille Enos
72190,Abigail Hargrove
127585,Hugh Jackman
127585,James McAvoy
127585,Michael Fassbender
54138,Chris Pine
54138,Zachary Quinto
54138,Zoe Saldana
81005,Nicholas Hoult
81005,Eleanor Tomlinson
81005,Ewan McGregor
64682,Leonardo DiCaprio
64682,Tobey Maguire
64682,Carey Mulligan
9543,Jake Gyllenhaal
9543,Gemma Arterton
9543,Ben Kingsley
68726,Idris Elba
68726,Charlie Hunnam
68726,Charlie Day
38356,Shia LaBeouf
38356,John Malkovich
38356,Ken Jeong
217,Harrison Ford
217,Cate Blanchett
217,Shia LaBeouf
105864,Raymond Ochoa
105864,Jack Bright
105864,Jeffrey Wright
62177,Kelly Macdonald
62177,Julie Walters
62177,Billy Connolly
188927,Chris Pine
188927,Zachary Quinto
188927,Karl Urban
10681,Ben Burtt
10681,Elissa Knight
10681,Jeff Garlin
5174,Chris Tucker
5174,Jackie Chan
5174,Hiroyuki Sanada
14161,John Cusack
14161,Amanda Peet
14161,Chiwetel Ejiofor
17979,Gary Oldman
17979,Jim Carrey
17979,Steve Valentine
76757,Mila Kunis
76757,Channing Tatum
76757,Sean Bean
258489,Alexander Skarsgård
258489,Margot Robbie
258489,Christoph Waltz
411,William Moseley
411,Anna Popplewell
411,Skandar Keynes
246655,James McAvoy
246655,Michael Fassbender
246655,Jennifer Lawrence
155,Christian Bale
155,Heath Ledger
155,Aaron Eckhart
14160,Ed Asner
14160,Christopher Plummer
14160,Jordan Nagai
15512,Seth Rogen
15512,Reese Witherspoon
15512,Hugh Laurie
1726,Robert Downey Jr.
1726,Terrence Howard
1726,Jeff Bridges
44826,Ben Kingsley
44826,Sacha Baron Cohen
44826,Asa Butterfield
8487,Will Smith
8487,Kevin Kline
8487,Kenneth Branagh
1735,Brendan Fraser
1735,Jet Li
1735,John Hannah
297761,Will Smith
297761,Margot Robbie
297761,Joel Kinnaman
2698,Steve Carell
2698,Lauren Graham
2698,John Goodman
137113,Tom Cruise
137113,Emily Blunt
137113,Brendan Gleeson
9804,Kevin Costner
9804,Chaim Girafi
9804,Rick Aviles
14869,Dennis Quaid
14869,Channing Tatum
14869,Marlon Wayans
150540,Amy Poehler
150540,Phyllis Smith
150540,Richard Kind
278927,Neel Sethi
278927,Bill Murray
278927,Ben Kingsley
10138,Robert Downey Jr.
10138,Gwyneth Paltrow
10138,Don Cheadle
58595,Kristen Stewart
58595,Charlize Theron
58595,Chris Hemsworth
102651,Angelina Jolie
102651,Elle Fanning
102651,Sharlto Copley
119450,Andy Serkis
119450,Jason Clarke
119450,Gary Oldman
79698,Josh Hartnett
79698,Simone Kessell
79698,Tamsin Egerton
64686,Keanu Reeves
64686,Hiroyuki Sanada
64686,Kou Shibasaki
100402,Chris Evans
100402,Samuel L. Jackson
100402,Scarlett Johansson
10192,Mike Myers
10192,Eddie Murphy
10192,Cameron Diaz
158852,Britt Robertson
158852,George Clooney
158852,Raffey Cassidy
177572,Scott Adsit
177572,Ryan Potter
