movie_id,title,production_company
19995,Avatar,Ingenious Film Partners
19995,Avatar,Twentieth Century Fox Film Corporation
19995,Avatar,Dune Entertainment
19995,Avatar,Lightstorm Entertainment
285,Pirates of the Caribbean: At World's End,Walt Disney Pictures
285,Pirates of the Caribbean: At World's End,Jerry Bruckheimer Films
285,Pirates of the Caribbean: At World's End,Second Mate Productions
206647,Spectre,Columbia Pictures
206647,Spectre,Danjaq
206647,Spectre,B24
49026,The Dark Knight Rises,Legendary Pictures
49026,The Dark Knight Rises,Warner Bros.
49026,The Dark Knight Rises,DC Entertainment
49026,The Dark Knight Rises,Syncopy
49529,John Carter,Walt Disney Pictures
559,Spider-Man 3,Columbia Pictures
559,Spider-Man 3,Laura Ziskin Productions
559,Spider-Man 3,Marvel Enterprises
38757,Tangled,Walt Disney Pictures
38757,Tangled,Walt Disney Animation Studios
99861,Avengers: Age of Ultron,Marvel Studios
99861,Avengers: Age of Ultron,Prime Focus
99861,Avengers: Age of Ultron,Revolution Sun Studios
767,Harry Potter and the Half-Blood Prince,Warner Bros.
767,Harry Potter and the Half-Blood Prince,Heyday Films
209112,Batman v Superman: Dawn of Justice,DC Comics
209112,Batman v Superman: Dawn of Justice,Atlas Entertainment
209112,Batman v Superman: Dawn of Justice,Warner Bros.
209112,Batman v Superman: Dawn of Justice,DC Entertainment
209112,Batman v Superman: Dawn of Justice,Cruel & Unusual Films
209112,Batman v Superman: Dawn of Justice,RatPac-Dune Entertainment
1452,Superman Returns,DC Comics
1452,Superman Returns,Legendary Pictures
1452,Superman Returns,Warner Bros.
1452,Superman Returns,Bad Hat Harry Productions
10764,Quantum of Solace,Eon Productions
58,Pirates of the Caribbean: Dead Man's Chest,Walt Disney Pictures
58,Pirates of the Caribbean: Dead Man's Chest,Jerry Bruckheimer Films
58,Pirates of the Caribbean: Dead Man's Chest,Second Mate Productions
57201,The Lone Ranger,Walt Disney Pictures
57201,The Lone Ranger,Jerry Bruckheimer Films
57201,The Lone Ranger,Infinitum Nihil
57201,The Lone Ranger,Silver Bullet Productions (II)
57201,The Lone Ranger,Blind Wink Productions
57201,The Lone Ranger,Classic Media
49521,Man of Steel,Legendary Pictures
49521,Man of Steel,Warner Bros.
49521,Man of Steel,DC Entertainment
49521,Man of Steel,Syncopy
49521,Man of Steel,Cruel and Unusual Films
2454,The Chronicles of Narnia: Prince Caspian,Walt Disney
2454,The Chronicles of Narnia: Prince Caspian,Walden Media
2454,The Chronicles of Narnia: Prince Caspian,Stillking Films
2454,The Chronicles of Narnia: Prince Caspian,Ozumi Films
2454,The Chronicles of Narnia: Prince Caspian,Propeler
2454,The Chronicles of Narnia: Prince Caspian,Silverbell Films
2454,The Chronicles of Narnia: Prince Caspian,Revolution Sun Studios
24428,The Avengers,Paramount Pictures
24428,The Avengers,Marvel Studios
1865,Pirates of the Caribbean: On Stranger Tides,Walt Disney Pictures
1865,Pirates of the Caribbean: On Stranger Tides,Jerry Bruckheimer Films
1865,Pirates of the Caribbean: On Stranger Tides,Moving Picture Company (MPC)
41154,Men in Black 3,Amblin Entertainment
41154,Men in Black 3,Media Magik Entertainment
41154,Men in Black 3,Imagenation Abu Dhabi FZ
41154,Men in Black 3,Hemisphere Media Capital
41154,Men in Black 3,Parkes/MacDonald Productions
122917,The Hobbit: The Battle of the Five Armies,WingNut Films
122917,The Hobbit: The Battle of the Five Armies,New Line Cinema
122917,The Hobbit: The Battle of the Five Armies,Warner Bros. Pictures
122917,The Hobbit: The Battle of the Five Armies,3Foot7
122917,The Hobbit: The Battle of the Five Armies,Metro-Goldwyn-Mayer (MGM)
1930,The Amazing Spider-Man,Columbia Pictures
1930,The Amazing Spider-Man,Laura Ziskin Productions
1930,The Amazing Spider-Man,Marvel Entertainment
20662,Robin Hood,Imagine Entertainment
20662,Robin Hood,Universal Pictures
20662,Robin Hood,Scott Free Productions
20662,Robin Hood,Relativity Media
57158,The Hobbit: The Desolation of Smaug,WingNut Films
57158,The Hobbit: The Desolation of Smaug,New Line Cinema
57158,The Hobbit: The Desolation of Smaug,Warner Bros. Pictures
57158,The Hobbit: The Desolation of Smaug,Metro-Goldwyn-Mayer (MGM)
2268,The Golden Compass,New Line Cinema
2268,The Golden Compass,Ingenious Film Partners
2268,The Golden Compass,Depth of Field
2268,The Golden Compass,Scholastic Productions
254,King Kong,WingNut Films
254,King Kong,Universal Pictures
254,King Kong,Big Primate Pictures
254,King Kong,MFPV Film
597,Titanic,Paramount Pictures
597,Titanic,Twentieth Century Fox Film Corporation
597,Titanic,Lightstorm Entertainment
271110,Captain America: Civil War,Studio Babelsberg
271110,Captain America: Civil War,Marvel Studios
271110,Captain America: Civil War,Walt Disney Studios Motion Pictures
271110,Captain America: Civil War,Vita-Ray Dutch Productions (III)
271110,Captain America: Civil War,Deluxe Digital Studios
44833,Battleship,Universal Pictures
44833,Battleship,Hasbro
44833,Battleship,Bluegrass Films
44833,Battleship,Film 44
135397,Jurassic World,Universal Studios
135397,Jurassic World,Amblin Entertainment
135397,Jurassic World,Legendary Pictures
135397,Jurassic World,Fuji Television Network
135397,Jurassic World,Dentsu
37724,Skyfall,Columbia Pictures
558,Spider-Man 2,Columbia Pictures
558,Spider-Man 2,Laura Ziskin Productions
558,Spider-Man 2,Marvel Enterprises
68721,Iron Man 3,Marvel Studios
12155,Alice in Wonderland,Walt Disney Pictures
12155,Alice in Wonderland,Team Todd
12155,Alice in Wonderland,Tim Burton Productions
12155,Alice in Wonderland,Roth Films
12155,Alice in Wonderland,"Zanuck Company, The"
36668,X-Men: The Last Stand,Ingenious Film Partners
36668,X-Men: The Last Stand,Twentieth Century Fox Film Corporation
36668,X-Men: The Last Stand,Donners' Company
36668,X-Men: The Last Stand,Dune Entertainment
36668,X-Men: The Last Stand,Major Studio Partners
36668,X-Men: The Last Stand,Bad Hat Harry Productions
36668,X-Men: The Last Stand,thinkfilm
36668,X-Men: The Last Stand,Marvel Enterprises
36668,X-Men: The Last Stand,X3 Canada Productions
36668,X-Men: The Last Stand,X3US Productions
36668,X-Men: The Last Stand,XM3 Service
62211,Monsters University,Walt Disney Pictures
62211,Monsters University,Pixar Animation Studios
8373,Transformers: Revenge of the Fallen,Paramount Pictures
8373,Transformers: Revenge of the Fallen,DreamWorks SKG
8373,Transformers: Revenge of the Fallen,Amblin Entertainment
8373,Transformers: Revenge of the Fallen,Di Bonaventura Pictures
8373,Transformers: Revenge of the Fallen,Platinum Dunes
8373,Transformers: Revenge of the Fallen,Hasbro Studios
8373,Transformers: Revenge of the Fallen,Revolution Sun Studios
91314,Transformers: Age of Extinction,Paramount Pictures
91314,Transformers: Age of Extinction,Amblin Entertainment
91314,Transformers: Age of Extinction,Di Bonaventura Pictures
91314,Transformers: Age of Extinction,Platinum Dunes
91314,Transformers: Age of Extinction,China Movie Channel
91314,Transformers: Age of Extinction,Hasbro Studios
91314,Transformers: Age of Extinction,Ian Bryce Productions
91314,Transformers: Age of Extinction,Revolution Sun Studios
68728,Oz: The Great and Powerful,Walt Disney Pictures
68728,Oz: The Great and Powerful,Roth Films
102382,The Amazing Spider-Man 2,Columbia Pictures
102382,The Amazing Spider-Man 2,Marvel Enterprises
102382,The Amazing Spider-Man 2,Avi Arad Productions
102382,The Amazing Spider-Man 2,Matt Tolmach Productions
20526,TRON: Legacy,Walt Disney Pictures
20526,TRON: Legacy,LivePlanet
20526,TRON: Legacy,Prana Studios
20526,TRON: Legacy,Sean Bailey Productions
20526,TRON: Legacy,Revolution Sun Studios
20526,TRON: Legacy,Kontsept Film Company
49013,Cars 2,Walt Disney Pictures
49013,Cars 2,Pixar Animation Studios
44912,Green Lantern,De Line Pictures
44912,Green Lantern,Warner Bros.
44912,Green Lantern,DC Entertainment
10193,Toy Story 3,Walt Disney Pictures
10193,Toy Story 3,Pixar Animation Studios
534,Terminator Salvation,Columbia Pictures
534,Terminator Salvation,The Halcyon Company
534,Terminator Salvation,Wonderland Sound and Vision
534,Terminator Salvation,Warner Bros.
168259,Furious 7,Universal Pictures
168259,Furious 7,Original Film
168259,Furious 7,Fuji Television Network
168259,Furious 7,Dentsu
168259,Furious 7,One Race Films
168259,Furious 7,China Film Co.
168259,Furious 7,Québec Production Services Tax Credit
168259,Furious 7,Media Rights Capital (MRC)
168259,Furious 7,Abu Dhabi Film Commission
168259,Furious 7,"Colorado Office of Film, Television & Media"
72190,World War Z,Paramount Pictures
72190,World War Z,GK Films
72190,World War Z,Skydance Productions
72190,World War Z,Hemisphere Media Capital
72190,World War Z,Apparatus Productions
72190,World War Z,Latina Pictures
72190,World War Z,2DUX²
127585,X-Men: Days of Future Past,Twentieth Century Fox Film Corporation
127585,X-Men: Days of Future Past,Donners' Company
127585,X-Men: Days of Future Past,Marvel Entertainment
127585,X-Men: Days of Future Past,Bad Hat Harry Productions
127585,X-Men: Days of Future Past,TSG Entertainment
127585,X-Men: Days of Future Past,Down Productions
127585,X-Men: Days of Future Past,Revolution Sun Studios
54138,Star Trek Into Darkness,Paramount Pictures
54138,Star Trek Into Darkness,Skydance Productions
54138,Star Trek Into Darkness,Bad Robot
54138,Star Trek Into Darkness,Kurtzman/Orci
81005,Jack the Giant Slayer,New Line Cinema
81005,Jack the Giant Slayer,Original Film
81005,Jack the Giant Slayer,Legendary Pictures
81005,Jack the Giant Slayer,Warner Bros.
81005,Jack the Giant Slayer,Big Kid Pictures
81005,Jack the Giant Slayer,Bad Hat Harry Productions
64682,The Great Gatsby,Village Roadshow Pictures
64682,The Great Gatsby,Bazmark Films
64682,The Great Gatsby,Warner Bros.
64682,The Great Gatsby,A&E Television Networks
64682,The Great Gatsby,Red Wagon Entertainment
64682,The Great Gatsby,Spectrum Films
9543,Prince of Persia: The Sands of Time,Walt Disney Pictures
9543,Prince of Persia: The Sands of Time,Jerry Bruckheimer Films
68726,Pacific Rim,Legendary Pictures
68726,Pacific Rim,Warner Bros.
68726,Pacific Rim,Disney Double Dare You (DDY)
68726,Pacific Rim,Indochina Productions
38356,Transformers: Dark of the Moon,Paramount Pictures
38356,Transformers: Dark of the Moon,Di Bonaventura Pictures
38356,Transformers: Dark of the Moon,Indochina Productions
38356,Transformers: Dark of the Moon,Hasbro Studios
217,Indiana Jones and the Kingdom of the Crystal Skull,Lucasfilm
217,Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures
105864,The Good Dinosaur,Walt Disney Pictures
105864,The Good Dinosaur,Pixar Animation Studios
62177,Brave,Walt Disney Pictures
62177,Brave,Pixar Animation Studios
188927,Star Trek Beyond,Paramount Pictures
188927,Star Trek Beyond,Bad Robot
188927,Star Trek Beyond,Perfect Storm Entertainment
188927,Star Trek Beyond,Alibaba Pictures Group
188927,Star Trek Beyond,Skydance Media
188927,Star Trek Beyond,Sneaky Shark
188927,Star Trek Beyond,Huahua Media
10681,WALL·E,Walt Disney Pictures
10681,WALL·E,Pixar Animation Studios
10681,WALL·E,FortyFour Studios
5174,Rush Hour 3,New Line Cinema
14161,2012,Columbia Pictures
14161,2012,Centropolis Entertainment
14161,2012,The Mark Gordon Company
14161,2012,Farewell Productions
17979,A Christmas Carol,Walt Disney
17979,A Christmas Carol,ImageMovers
76757,Jupiter Ascending,Village Roadshow Pictures
76757,Jupiter Ascending,Dune Entertainment
76757,Jupiter Ascending,Anarchos Productions
76757,Jupiter Ascending,Warner Bros.
258489,The Legend of Tarzan,Village Roadshow Pictures
258489,The Legend of Tarzan,Dark Horse Entertainment
258489,The Legend of Tarzan,Jerry Weintraub Productions
258489,The Legend of Tarzan,RatPac-Dune Entertainment
258489,The Legend of Tarzan,Beagle Pug Films
258489,The Legend of Tarzan,Riche Productions
258489,The Legend of Tarzan,Village Roadshow Films North America
